run_id,tierb_subtier,tierb_family,ablation_factor,ablation_value,matcher,overall_acc,overall_precision,idf_acc,loc_mean,loc_median,images,gt_present,predicted,correct,runtime_s,cand_fallback_passes,cand_fallback_percentiles,cand_target_raw,layout_lambda,layout_prior,matcher,max_seeds,pivot_P,ratio_tol,sla_base_ratio_min,sla_layout_mode,sla_mirror_reject,sla_semantic_lambda,sla_semantic_prior,sla_side_margin,sla_top2_margin,support_M,support_tol,support_w
tierB\b2_098,,,,,sla,0.7006,0.7856,0.751,13.07,1.415,2486,8763,7814,6139,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.08,0.15
tierB\b2_099,,,,,sla,0.7289,0.8174,0.758,10.633,1.414,2486,8763,7814,6387,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.08,0.15
tierB\b2_100,,,,,sla,0.7006,0.7856,0.751,13.07,1.415,2486,8763,7814,6139,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.1,0.1
tierB\b2_101,,,,,sla,0.7289,0.8174,0.758,10.633,1.414,2486,8763,7814,6387,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.1,0.1
tierB\b2_102,,,,,sla,0.7006,0.7856,0.751,13.07,1.415,2486,8763,7814,6139,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.1,0.15
tierB\b2_103,,,,,sla,0.7289,0.8174,0.758,10.633,1.414,2486,8763,7814,6387,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.1,0.15
tierB\b2_104,,,,,sla,0.7006,0.7856,0.751,13.07,1.415,2486,8763,7814,6139,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.08,0.1
tierB\b2_105,,,,,sla,0.7289,0.8174,0.758,10.633,1.414,2486,8763,7814,6387,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.08,0.1
tierB\b2_106,,,,,sla,0.7006,0.7856,0.751,13.07,1.415,2486,8763,7814,6139,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.08,0.15
tierB\b2_107,,,,,sla,0.7289,0.8174,0.758,10.633,1.414,2486,8763,7814,6387,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.08,0.15
tierB\b2_108,,,,,sla,0.7006,0.7856,0.751,13.07,1.415,2486,8763,7814,6139,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.1,0.1
tierB\b2_109,,,,,sla,0.7289,0.8174,0.758,10.633,1.414,2486,8763,7814,6387,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.1,0.1
tierB\b2_110,,,,,sla,0.7006,0.7856,0.751,13.07,1.415,2486,8763,7814,6139,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.1,0.15
tierB\b2_111,,,,,sla,0.7289,0.8174,0.758,10.633,1.414,2486,8763,7814,6387,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.1,0.15
tierB\b2_112,,,,,sla,0.7069,0.7758,0.76,13.655,1.449,2486,8763,7985,6195,nan,4,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.08,0.1
tierB\b2_113,,,,,sla,0.7364,0.8081,0.767,10.922,1.415,2486,8763,7985,6453,nan,4,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.08,0.1
tierB\b2_114,,,,,sla,0.7069,0.7758,0.76,13.655,1.449,2486,8763,7985,6195,nan,4,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.08,0.15
tierB\b2_115,,,,,sla,0.7364,0.8081,0.767,10.922,1.415,2486,8763,7985,6453,nan,4,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.08,0.15
tierB\b2_116,,,,,sla,0.7069,0.7758,0.76,13.655,1.449,2486,8763,7985,6195,nan,4,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.1,0.1
tierB\b2_117,,,,,sla,0.7364,0.8081,0.767,10.922,1.415,2486,8763,7985,6453,nan,4,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.1,0.1
tierB\b2_118,,,,,sla,0.7069,0.7758,0.76,13.655,1.449,2486,8763,7985,6195,nan,4,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.1,0.15
tierB\b2_119,,,,,sla,0.7364,0.8081,0.767,10.922,1.415,2486,8763,7985,6453,nan,4,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.1,0.15
